"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"G010","Serveis religiosos","Mesquites",431388053,4581465428,431296112,4581264501,"2.178351","41.379971","Associació Comunitat Paquistanesa del Gòtic",1,2,"Ciutat Vella","el Barri Gòtic","C Serra, 9","null"
"G008","Serveis religiosos","Esglésies catòliques",429592478,4584931011,429500555,4584730052,"2.156476","41.411029","Parròquia de la Mare de Déu de la Salut",6,30,"Gràcia","la Salut","C Clavell, 6",932131431
"G009","Serveis religiosos","Esglésies evangèliques",431672994,"4586255.65",431581052,4586054678,"2.181217","41.423139","Església Evangèlica Manmin",9,62,"Sant Andreu","el Congrés i els Indians","C Puerto Príncipe, 63","null"
"G008","Serveis religiosos","Esglésies catòliques",430252679,4582012645,430160749,4581811713,"2.164711","41.384802","Parròquia de Sant Pere Nolasc",1,1,"Ciutat Vella","el Raval","Pl Castella, 6",933181494
"G009","Serveis religiosos","Esglésies evangèliques",430849711,4580960685,430757775,4580759762,"2.171971","41.375379","Església Evangèlica Cristiana Jesus Christ Saves Global Outreach",1,1,"Ciutat Vella","el Raval","C Santa Madrona, 16","null"
"G008","Serveis religiosos","Esglésies catòliques","433384.72",4583932237,433292762,4583731286,"2.201955","41.402357","Parròquia de Santa Maria del Taulat i Sant Bernat Calbó",10,68,"Sant Martí","el Poblenou","C Pujades, 210",933096365
"G008","Serveis religiosos","Esglésies catòliques",430393025,4586428845,430301095,4586227872,"2.165881","41.424589","Parròquia de Sant Antoni de Pàdua",7,36,"Horta-Guinardó","la Font d'en Fargues","C Pedrell, 64",934290303
"G008","Serveis religiosos","Esglésies catòliques",427717529,4583835604,427625623,4583634656,"2.134176","41.400996","Parròquia de la Verge de la Pau",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Pl Ferran Casablancas, 4*6",934179264
"G008","Serveis religiosos","Esglésies catòliques",430642477,"4587860.66",430550545,4587659674,"2.168701","41.437506","Parròquia de Sant Rafael",8,48,"Nou Barris","la Guineueta","Pl Ca n'Ensenya, s/n",934278577
"G008","Serveis religiosos","Esglésies catòliques",425789229,4584745864,425697341,4584544908,"2.110999","41.409019","Església de la Sagrada Família de Natzaret",5,23,"Sarrià-Sant Gervasi","Sarrià","Av Vallvidrera, 68",932038800
"G003","Serveis religiosos","Centres budistes","428952.03",4581588537,428860112,4581387609,"2.149207","41.380868","Centre Budista Soka Gakkai",2,9,"Eixample","la Nova Esquerra de l'Eixample","C Entença, 114",932263733
"G008","Serveis religiosos","Esglésies catòliques",431350885,"4588517.08",431258947,4588316087,"2.177105","41.443479","Parròquia de Sant Sebastià",8,51,"Nou Barris","Verdun","C Viladrosa, 96*98",933597798
"G009","Serveis religiosos","Esglésies evangèliques",428920972,4581519854,428829054,4581318927,"2.148843","41.380247","Església Evangèlica Brasilera Assemblea de Déu de Barcelona",2,9,"Eixample","la Nova Esquerra de l'Eixample","C Aragó, 51",691078870
"G008","Serveis religiosos","Esglésies catòliques",433123638,4586352984,433031683,4586152011,"2.198564","41.424138","Parròquia del Santíssim Sagrament",10,73,"Sant Martí","la Verneda i la Pau","C Santander, 18*20",933135262
"G009","Serveis religiosos","Esglésies evangèliques","430772.65",4580671212,430680715,4580470292,"2.171083","41.372765","Església Evangèlica de Filadèlfia - Rambles",3,11,"Sants-Montjuïc","el Poble-sec","C Piquer, 14*16","null"
"G009","Serveis religiosos","Esglésies evangèliques","428291.33",4580766408,428199418,4580565488,"2.141403","41.373405","Església Evangèlica Barcelona Comunitat Cristiana",3,16,"Sants-Montjuïc","la Bordeta","C Vint-i-Sis de Gener 1641, 3","null"
"G009","Serveis religiosos","Esglésies evangèliques",428725415,"4580615.62",428633499,4580414701,"2.146611","41.372085","Església Evangèlica Jesucristo Pan de Vida",3,14,"Sants-Montjuïc","la Font de la Guatlla","C Sant Germà, 9",676064693
"G007","Serveis religiosos","Esglésies adventistes","432030.52",4585118972,431938574,"4584918.01","2.185623","41.412932","Església Adventista del Setè Dia - Clot",10,64,"Sant Martí","el Camp de l'Arpa del Clot","C Nació, 24*26","null"
"G010","Serveis religiosos","Mesquites",430832219,4587290838,430740285,4587089857,"2.171038","41.43239","Centre Islàmic Karm Ilahi",8,46,"Nou Barris","el Turó de la Peira","C Aneto, 22","null"
"G008","Serveis religiosos","Esglésies catòliques",426895899,4585116431,426804001,4584915471,"2.124193","41.412458","Monestir de Sant Maties",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Mercè Rodoreda, 7",934173666
"G010","Serveis religiosos","Mesquites",430705659,4581429827,430613725,"4581228.9","2.170195","41.379592","Mesquita Tarek Ibn Ziad",1,1,"Ciutat Vella","el Raval","C Sant Rafael, 10",934419149
"G008","Serveis religiosos","Esglésies catòliques",429703872,4583520739,429611947,4583319793,"2.157973","41.398337","Parròquia de Santa Maria de Gràcia",6,31,"Gràcia","la Vila de Gràcia","C Gràcia, 3*5",932187572
