lon;lat;district;neighborhood;avg_price
2.16149;41.38858;eixample;l'antiga esquerra de l'eixample;3.0
2.159888;41.3865471;eixample;l'antiga esquerra de l'eixample;2.0
2.1611199;41.3869095;eixample;l'antiga esquerra de l'eixample;2.0
2.16465;41.38871;eixample;la dreta de l'eixample;3.5
2.1585582355;41.3906796505;eixample;l'antiga esquerra de l'eixample;1.0
2.16148;41.38942;eixample;l'antiga esquerra de l'eixample;2.0
2.15812;41.38575;eixample;l'antiga esquerra de l'eixample;2.0
2.1591899;41.3900604;eixample;l'antiga esquerra de l'eixample;1.5
2.1577;41.3912;eixample;l'antiga esquerra de l'eixample;2.0
2.16207;41.38789;eixample;l'antiga esquerra de l'eixample;1.0
2.16168;41.3862305;eixample;l'antiga esquerra de l'eixample;2.5
2.16342;41.3894997;eixample;la dreta de l'eixample;2.0
2.1611699;41.39028;eixample;l'antiga esquerra de l'eixample;1.5
2.16055;41.3904799;eixample;l'antiga esquerra de l'eixample;2.0
2.16265;41.38745;eixample;l'antiga esquerra de l'eixample;1.0
2.16040693842;41.3893175865;eixample;l'antiga esquerra de l'eixample;1.0
2.16079944427;41.3894337241;eixample;l'antiga esquerra de l'eixample;2.0
2.16242;41.38704;eixample;l'antiga esquerra de l'eixample;2.0
2.15965;41.39011;eixample;l'antiga esquerra de l'eixample;2.0
2.15751;41.39015;eixample;l'antiga esquerra de l'eixample;1.0
2.16392;41.38846;eixample;la dreta de l'eixample;2.0
2.15698;41.38858;eixample;l'antiga esquerra de l'eixample;2.0
2.15934455395;41.3901753625;eixample;l'antiga esquerra de l'eixample;3.0
2.15934744082;41.3884933464;eixample;l'antiga esquerra de l'eixample;4.0
2.16235;41.38768;eixample;l'antiga esquerra de l'eixample;2.5
2.15922;41.39119;eixample;l'antiga esquerra de l'eixample;2.0
2.16167;41.38845;eixample;l'antiga esquerra de l'eixample;2.0
2.16036;41.39114;eixample;la dreta de l'eixample;1.0
2.1621;41.39026;eixample;la dreta de l'eixample;2.0
2.16604;41.3893;eixample;la dreta de l'eixample;3.0
2.16223;41.38998;eixample;la dreta de l'eixample;1.0
2.15808;41.38888;eixample;l'antiga esquerra de l'eixample;3.0
2.15761;41.38852;eixample;l'antiga esquerra de l'eixample;1.5
2.1591;41.38527;eixample;l'antiga esquerra de l'eixample;1.5
2.15891;41.3895;eixample;l'antiga esquerra de l'eixample;2.0
2.15887;41.38922;eixample;l'antiga esquerra de l'eixample;2.0
2.1594690686;41.3899005718;eixample;l'antiga esquerra de l'eixample;2.0
2.16057612894;41.3903552641;eixample;l'antiga esquerra de l'eixample;1.0
2.15901642378;41.3903360704;eixample;l'antiga esquerra de l'eixample;1.5
2.15822;41.38873;eixample;l'antiga esquerra de l'eixample;1.5
2.16426;41.3906599;eixample;la dreta de l'eixample;2.0
2.15804;41.39055;eixample;l'antiga esquerra de l'eixample;3.0
